,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,11.58.01,0,5G,-115,-15,-3.0,9,-94,38,6,D
3,11.58.05,0,5G,-118,-17,-1.0,10,-94,3,8,D
4,11.58.06,0,5G,-113,-14,-2.0,10,-94,420,158,D
5,11.58.07,0,5G,-113,-14,-2.0,10,-94,2250,80,D
6,11.58.08,0,5G,-114,-14,-4.0,10,-94,261,49,D
7,11.58.09,0,5G,-114,-14,-4.0,12,-94,264,101,D
8,11.58.10,0,5G,-115,-14,-3.0,11,-94,4565,233,D
9,11.58.11,0,5G,-115,-14,-3.0,9,-94,7242,197,D
10,11.58.12,0,5G,-112,-17,-3.0,9,-94,6149,264,D
11,11.58.13,0,5G,-112,-17,-3.0,9,-94,11850,293,D
12,11.58.14,0,5G,-113,-17,-3.0,9,-94,8898,253,D
13,11.58.15,0,5G,-113,-17,-3.0,9,-93,11980,293,D
14,11.58.16,0,5G,-106,-16,0.0,13,-89,14602,347,D
15,11.58.18,0,5G,-106,-16,0.0,15,-,8986,1770,D
16,11.58.19,0,5G,-105,-14,1.0,10,-89,12912,287,D
17,11.58.20,0,5G,-105,-14,1.0,7,-87,12836,255,D
18,11.58.21,0,5G,-104,-16,-1.0,10,-91,12080,220,D
19,11.58.22,0,5G,-104,-16,-1.0,9,-,3135,72,D
20,11.58.23,0,5G,-101,-14,0.0,11,-81,1057,20,D
21,11.58.24,0,5G,-101,-14,0.0,6,-76,282,10,D
23,11.58.27,0,LTE,-88,-10,7.0,5,-79,1418,38,D
25,11.58.29,0,5G,-98,-14,-11.0,6,-77,280,11,D
26,11.58.30,0,5G,-91,-18,-8.0,6,-74,845,19,D
27,11.58.31,0,5G,-91,-18,-8.0,10,-80,285,12,D
28,11.58.32,0,5G,-97,-14,-7.0,10,-80,0,0,D
29,11.58.33,0,5G,-97,-14,-7.0,10,-,3177,50,D
30,11.58.34,0,5G,-72,-9,6.0,11,-,282,10,D
31,11.58.36,0,5G,-72,-9,6.0,9,-61,0,0,D
32,11.58.37,0,LTE,-88,-12,-4.0,6,-67,2947,65,D
34,11.58.39,0,LTE,-91,-8,1.0,6,-67,282,11,D
35,11.58.40,0,LTE,-91,-8,1.0,10,-74,668,22,D
36,11.58.41,0,LTE,-89,-13,-3.0,9,-72,129,1,D
37,11.58.42,0,LTE,-89,-13,-3.0,9,-72,285,11,D
38,11.58.44,0,LTE,-92,-11,-6.0,6,-75,0,0,D
39,11.58.45,0,LTE,-92,-11,-6.0,6,-84,1129,30,D
41,11.58.47,0,LTE,-101,-15,0.0,4,-89,283,11,D
42,11.58.48,0,LTE,-104,-15,-2.0,5,-87,1617,40,D
43,11.58.49,0,LTE,-104,-15,-2.0,6,-,0,0,D
44,11.58.50,0,5G,-97,-14,-7.0,8,-87,289,12,D
45,11.58.51,0,5G,-97,-14,-7.0,6,-78,1018,25,D
47,11.58.54,0,5G,-94,-15,-4.0,6,-80,276,9,D
48,11.58.55,0,5G,-87,-14,-5.0,11,-,1107,27,D
51,11.58.57,9,5G,-91,-15,-4.0,12,-74,283,11,D
52,11.58.58,9,5G,-91,-15,-4.0,12,-,44,4,D
53,11.58.59,9,5G,-90,-12,-3.0,12,-,0,0,D
54,11.59.01,9,5G,-90,-12,-3.0,9,-74,278,9,D
55,11.59.02,9,5G,-86,-10,-2.0,9,-74,102,25,D
56,11.59.03,9,5G,-86,-10,-2.0,9,-74,1700,1755,D
57,11.59.04,9,5G,-85,-13,-4.0,9,-74,56,19,D
58,11.59.05,9,5G,-85,-13,-4.0,9,-74,293,11,D
60,11.59.07,9,5G,-85,-11,2.0,11,-,280,7,D
61,11.59.08,9,5G,-85,-10,-2.0,8,-72,1004,22,D
62,11.59.10,9,5G,-85,-10,-2.0,8,-72,0,0,D
63,11.59.11,9,5G,-85,-11,-5.0,8,-72,283,10,D
64,11.59.12,9,5G,-85,-11,-5.0,8,-72,0,0,D
65,11.59.13,9,5G,-86,-10,-6.0,8,-72,1590,35,D
66,11.59.14,9,5G,-86,-10,-6.0,8,-72,0,0,D
67,11.59.15,9,5G,-90,-13,-2.0,8,-74,0,0,D
68,11.59.16,9,5G,-90,-13,-2.0,5,-76,278,9,D
69,11.59.17,9,5G,-91,-16,-5.0,4,-78,532,13,D
70,11.59.19,9,5G,-91,-16,-5.0,4,-78,285,10,D
71,11.59.20,9,5G,-90,-15,-8.0,6,-81,0,0,D
72,11.59.21,9,5G,-90,-15,-8.0,7,-,277,9,D
73,11.59.22,9,5G,-89,-15,-3.0,7,-,712,14,D
74,11.59.23,9,5G,-89,-15,-3.0,5,-79,278,9,D
76,11.59.25,9,5G,-93,-19,-13.0,6,-70,285,11,D
77,11.59.27,9,5G,-89,-18,-9.0,6,-68,421,20,D
78,11.59.28,9,5G,-89,-18,-9.0,4,-71,607,25,D
79,11.59.29,9,LTE,-81,-15,5.0,12,-59,286,11,D
80,11.59.30,9,LTE,-81,-15,5.0,11,-64,871,21,D
81,11.59.31,9,LTE,-80,-14,-6.0,11,-64,282,8,D
82,11.59.32,9,LTE,-80,-14,-6.0,5,-62,282,12,D
83,11.59.33,9,LTE,-79,-14,-2.0,5,-62,0,3,D
84,11.59.35,9,LTE,-79,-14,-2.0,5,-62,780,14,D
85,11.59.36,9,LTE,-78,-13,1.0,5,-62,284,11,D
86,11.59.37,9,LTE,-78,-13,1.0,5,-62,202,7,D
87,11.59.38,9,LTE,-82,-14,-4.0,5,-62,892,22,D
88,11.59.39,9,LTE,-82,-14,-4.0,6,-64,0,0,D
89,11.59.40,9,LTE,-82,-14,-3.0,6,-64,279,8,D
91,11.59.43,9,LTE,-82,-14,-4.0,6,-64,839,26,D
93,11.59.45,9,LTE,-79,-14,-1.0,12,-62,278,11,D
94,11.59.46,9,LTE,-79,-14,-1.0,12,-62,778,18,D
95,11.59.47,9,LTE,-78,-10,2.0,12,-62,283,10,D
96,11.59.48,9,LTE,-78,-10,2.0,12,-62,0,3,D
97,11.59.49,9,LTE,-80,-13,-2.0,12,-62,0,0,D
98,11.59.50,9,LTE,-80,-13,-2.0,8,-65,2124,39,D
99,11.59.52,9,LTE,-82,-13,-4.0,8,-65,284,11,D
101,11.59.54,9,LTE,-78,-13,2.0,6,-61,282,11,D
102,11.59.55,9,LTE,-78,-13,2.0,6,-61,412,10,D
103,11.59.56,9,LTE,-78,-13,0.0,6,-61,111,5,D
104,11.59.57,9,LTE,-78,-13,0.0,6,-61,0,0,D
105,11.59.58,9,LTE,-78,-13,1.0,6,-61,2789,55,D
106,11.59.59,9,LTE,-78,-13,1.0,6,-61,0,0,D
107,12.00.01,9,LTE,-79,-13,1.0,7,-63,1965,45,D
109,12.00.03,9,LTE,-79,-13,3.0,7,-63,315,856,D
110,12.00.04,9,LTE,-79,-13,3.0,7,-63,1326,29,D
111,12.00.05,9,LTE,-73,-12,4.0,11,-57,281,11,D
112,12.00.06,9,LTE,-73,-12,4.0,11,-51,45,28,D
113,12.00.07,9,LTE,-76,-14,-7.0,5,-55,2299,51,D
114,12.00.08,9,LTE,-76,-14,-7.0,5,-55,291,12,D
115,12.00.10,9,5G,-78,-15,-10.0,4,-61,0,0,D
116,12.00.11,9,5G,-78,-15,-10.0,15,-71,282,8,D
117,12.00.12,9,5G,-67,-12,6.0,10,-67,1288,26,D
118,12.00.13,9,5G,-67,-12,6.0,10,-67,276,10,D
119,12.00.14,9,5G,-74,-13,0.0,12,-,755,16,D
120,12.00.15,9,5G,-74,-13,0.0,15,-62,282,10,D
122,12.00.17,9,5G,-67,-11,4.0,15,-62,1290,28,D
124,12.00.20,9,5G,-72,-12,4.0,8,-66,284,10,D
125,12.00.21,9,5G,-75,-11,1.0,8,-70,0,3,D
126,12.00.22,9,5G,-75,-11,1.0,8,-70,0,0,D
127,12.00.23,9,5G,-76,-16,3.0,8,-70,281,10,D
128,12.00.24,9,5G,-76,-16,3.0,8,-70,1721,33,D
129,12.00.26,9,5G,-76,-13,2.0,8,-70,0,0,D
130,12.00.27,9,5G,-76,-13,2.0,8,-70,282,10,D
131,12.00.28,9,5G,-76,-12,9.0,8,-70,0,0,D
132,12.00.29,9,5G,-76,-12,9.0,8,-70,3040,40,D
134,12.00.31,9,5G,-76,-14,-2.0,8,-70,278,7,D
135,12.00.32,9,5G,-76,-14,-1.0,8,-70,281,13,D
